,Year,Month,level_1,y_test_values,predictions
355,2018,11,Marquette Park,154912,153697
365,2018,11,Bowmanville,504377,506451
369,2018,11,South Loop,366343,367286
395,2018,11,Montclare,260405,259877
400,2018,11,Ranch Triangle,728433,731489
416,2018,11,Vittum Park,204404,203974
420,2018,11,Ashburn,174885,173708
433,2018,11,Ravenswood Manor,593814,592077
441,2018,11,Bucktown,574747,572507
449,2018,11,Wrigleyville,479357,477614
469,2018,11,The Robert Taylor Homes,96608,95331
496,2018,11,Sleepy Hollow,185239,185446
502,2018,11,West Englewood,73468,72515
535,2018,11,Altgeld Gardens,97100,96962
546,2018,11,Pulaski Park,358654,358828
566,2018,11,The Gap,370177,371792
588,2018,11,Hegewisch,127557,127511
594,2018,11,Rosemoor,134742,135714
638,2018,11,Parkview,175247,174444
783,2018,11,Mayfair,322044,321849
813,2018,11,Beverly View,155847,155423
828,2018,11,Gresham,125060,124909
832,2018,11,West Beverly,253959,254252
843,2018,11,River West,446949,445294
849,2018,11,Brainerd,131030,132389
858,2018,11,O'Hare,296148,295370
904,2018,11,LeClaire Courts,178999,180275
955,2018,11,West Pullman,95501,94403
974,2018,11,Englewood,52626,52329
1013,2018,11,East Ukrainian Village,521172,518977
1067,2018,11,The Villa,515338,512789
1111,2018,11,Kelvin Park,260787,260398
1128,2018,11,Pill Hill,141333,143125
1164,2018,11,Peterson Park,373950,376172
1189,2018,11,Marycrest,248084,247612
1197,2018,11,Dunning,257801,258609
1206,2018,11,Pullman,93879,91732
1209,2018,11,River's Edge,614826,611607
1210,2018,11,Brighton Park,181600,181768
1222,2018,11,West Rogers Park,297125,297007
1227,2018,11,West Chesterfield,139453,139503
1253,2018,11,Fuller Park,100594,100394
206,2018,12,East Ukrainian Village,521920,518977
265,2018,12,North Kenwood,283282,282168
273,2018,12,River North,358582,358587
335,2018,12,South Deering,87174,88401
336,2018,12,O'Hare International Airport,337741,338333
350,2018,12,Canaryville,247786,247553
386,2018,12,Golden Gate,44841,45288
428,2018,12,Fulton River District,458500,460321
468,2018,12,University Village - Little Italy,359671,360630
487,2018,12,Parkview,175528,174444
491,2018,12,Chinatown,332858,332624
540,2018,12,Washington Heights,129367,128891
548,2018,12,Cragin,258499,258029
