,RegionName,variable,value
420,West Rogers Park,1997-03,140106.0
421,South Austin,1997-03,0.0
422,Albany Park,1997-03,131166.0
423,Uptown,1997-03,124567.0
424,Lake View,1997-03,231982.0
425,Rogers Park,1997-03,106112.0
426,Gresham,1997-03,89695.0
427,Brighton Park,1997-03,93727.0
428,Englewood,1997-03,0.0
429,Jefferson Park,1997-03,167582.0
430,Portage Park,1997-03,171637.0
431,South Loop,1997-03,153984.0
432,Humboldt Park,1997-03,100722.0
433,Gage Park,1997-03,73753.0
434,Bridgeport,1997-03,168568.0
435,Edgewater,1997-03,107269.0
436,Lake View East,1997-03,154142.0
437,South Shore,1997-03,48605.0
438,Cragin,1997-03,136532.0
439,Back of the Yards,1997-03,0.0
440,West Lawn,1997-03,110682.0
441,Bronzeville,1997-03,92083.0
442,Belmont Central,1997-03,129792.0
443,Marquette Park,1997-03,93941.0
444,Garfield Ridge,1997-03,142781.0
445,Near North,1997-03,177720.0
446,West Pullman,1997-03,50240.0
447,South Chicago,1997-03,0.0
448,West Town,1997-03,213446.0
449,West Englewood,1997-03,0.0
450,North Austin,1997-03,61814.0
451,East Garfield Park,1997-03,0.0
452,Ravenswood,1997-03,179816.0
453,East Side,1997-03,77674.0
454,Hermosa,1997-03,77361.0
455,North Center,1997-03,247128.0
456,Roseland,1997-03,38136.0
457,Streeterville,1997-03,213133.0
458,West Elsdon,1997-03,106958.0
459,Bucktown,1997-03,246898.0
460,Hyde Park,1997-03,173651.0
461,Chicago Lawn,1997-03,69605.0
462,Chatham,1997-03,73792.0
463,Clearing,1997-03,133737.0
464,Avondale,1997-03,154749.0
465,Heart of Chicago,1997-03,129567.0
466,University Village - Little Italy,1997-03,222333.0
467,Morgan Park,1997-03,116628.0
468,Mount Greenwood,1997-03,140890.0
469,Archer Heights,1997-03,100630.0
470,O'Hare,1997-03,154139.0
471,Near West Side,1997-03,151553.0
472,Galewood,1997-03,122797.0
473,Park Manor,1997-03,70038.0
474,Montclare,1997-03,125566.0
